epoch,loss,lr,raw_score,ema_score,selected_score,selected,psnr,ssim,seconds
1,0.0801175465931495,3.3333333333333335e-05,0.028707702834811083,0.00855469023162761,0.028707702834811083,raw,20.544137792759734,0.48517757589402405,123.76001750002615
2,0.07235188548763594,6.666666666666667e-05,0.12486496753700481,0.03738294326744289,0.12486496753700481,raw,22.26812031103561,0.5531724858219209,72.38906170008704
3,0.05299925150970618,0.0001,0.30083596853539457,0.11037004666774136,0.30083596853539457,raw,25.31273870349162,0.6886381490722947,52.54885270004161
4,0.040498487688601016,0.0001,0.37924479094267743,0.2177363327048935,0.37924479094267743,raw,26.655152381359624,0.7504188373037006,51.907709400053136
5,0.03692050952464342,9.951651848934431e-05,0.40653549861130445,0.3168419181183885,0.40653549861130445,raw,27.075473208325228,0.7766135237787081,50.99960950005334
6,0.035257977930208045,9.807591624668864e-05,0.4293203438120449,0.38183202892645624,0.4293203438120449,raw,27.513331850610886,0.7897897725519927,80.2272683000192
7,0.033317051082849505,9.570751977933963e-05,0.43557482904710554,0.41559701521182585,0.43557482904710554,raw,27.603736673671857,0.7963855033335479,86.13343960000202
8,0.03384293057024479,9.245954280948111e-05,0.4408301538359403,0.43193392429287314,0.4408301538359403,raw,27.69592993381588,0.8003044892912325,74.61855300003663
9,0.03425764343390862,8.839810478182727e-05,0.44427597272959785,0.440693685404972,0.44427597272959785,raw,27.778123631166235,0.8006996667903402,105.32103650004137
10,0.03310448239247004,8.360588486240105e-05,0.445735853155641,0.44637460123175837,0.44637460123175837,ema,27.826706340827467,0.8010879670796187,84.78482960001566
11,0.03324142247438431,7.818043882914089e-05,0.44741105274982135,0.45028601320905226,0.45028601320905226,ema,27.901308582122336,0.8034062728933666,73.69062859995756
12,0.033317924762765565,7.223221311758962e-05,0.4527594214180322,0.45348175012530495,0.45348175012530495,ema,27.96422553320028,0.8051039200762043,51.040020899963565
13,0.032927649244666096,6.588229644996792e-05,0.4500615800180615,0.4559078204658178,0.4559078204658178,ema,28.010432391117472,0.8065484101357667,50.80256149999332
14,0.03231295805424452,5.925995481798106e-05,0.45292584323649243,0.45731366128880657,0.45731366128880657,ema,28.037672548790674,0.8073389964259189,50.86296980001498
15,0.03289158803721269,5.25e-05,0.45710758883267866,0.4586704834737907,0.4586704834737907,ema,28.067498724311573,0.8077484343362891,50.55820929992478
16,0.032690900315841036,4.574004518201896e-05,0.45490018892280093,0.4596853308753294,0.4596853308753294,ema,28.090859664959805,0.807949458775313,51.55882799997926
17,0.03258624725043774,3.911770355003209e-05,0.4612263852988839,0.4608011161322675,0.4612263852988839,raw,28.12311102995216,0.8085769583349642,50.792125200037844
18,0.03196406465023756,3.27677868824104e-05,0.46162591515428114,0.461477492844394,0.46162591515428114,raw,28.129003756970622,0.8089865102716114,51.62721820001025
19,0.03269418561210235,2.6819561170859132e-05,0.4618817518401575,0.46227298299975594,0.46227298299975594,ema,28.13674356465114,0.8098301991172459,50.596913199988194
20,0.03229935795068741,2.1394115137598964e-05,0.4620377158976349,0.46271494785943795,0.46271494785943795,ema,28.146234322705546,0.8099860354610111,50.33251679991372
21,0.032124207528928916,1.6601895218172737e-05,0.46098426640593787,0.4631976232901393,0.4631976232901393,ema,28.158571683985038,0.8099589879098146,50.85200019995682
22,0.03210020342220863,1.254045719051889e-05,0.4639839688146124,0.4637148505771269,0.4639839688146124,raw,28.172688567291342,0.8105131633903669,51.096355900052004
23,0.032010340864459676,9.292480220660373e-06,0.46402129427813776,0.4640812278720005,0.4640812278720005,ema,28.17645091178362,0.8103800765846086,51.26376950007398
24,0.032028925058742365,6.9240837533113805e-06,0.4641037635401987,0.4641774770584834,0.4641774770584834,ema,28.176382699969203,0.8106275207322576,52.51142090000212
25,0.031491290467480816,5.4834815106556985e-06,0.46460799529515784,0.46445375767328717,0.46460799529515784,raw,28.183233498547462,0.8110187364661176,50.097483600024134
